City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,college,64.8569,-147.8028,292.78,43,75,2.57,US,1686371015
1,axim,4.8699,-2.2405,298.49,85,85,3.68,GH,1686371015
2,ribeira grande,38.5167,-28.7,291.36,78,14,4.02,PT,1686371015
3,sirte,31.2089,16.5887,295.07,62,77,4.47,LY,1686371015
4,tamanrasset,22.785,5.5228,300.1,12,0,2.06,DZ,1686371016
5,middletown,39.5151,-84.3983,287.99,72,0,0.45,US,1686370944
6,keetmanshoop,-26.5833,18.1333,277.66,75,0,2.57,NA,1686371016
7,kodiak,57.79,-152.4072,281.88,81,100,5.66,US,1686371016
8,port elizabeth,-33.918,25.5701,283.6,90,0,3.6,ZA,1686371016
9,mount pearl,47.5166,-52.7813,279.23,97,100,3.6,CA,1686371016
10,colonia,50.9333,6.95,289.42,77,0,0.51,DE,1686370947
11,smithers,54.7804,-127.1743,294.33,24,75,5.66,CA,1686371017
12,alice springs,-23.7,133.8833,294.9,16,0,4.12,AU,1686371017
13,waitangi,-43.9535,-176.5597,283.61,93,100,0.45,NZ,1686371017
14,bethel,41.3712,-73.414,285.54,88,75,1.54,US,1686370914
15,atafu village,-8.5421,-172.5159,301.82,76,17,7.37,TK,1686371017
16,lae,-6.7221,146.9847,302.52,71,69,3.55,PG,1686371018
17,mao,39.8885,4.2658,293.46,94,40,3.6,ES,1686371018
18,nuuk,64.1835,-51.7216,279.49,70,100,12.35,GL,1686371018
19,lihue,21.9789,-159.3672,298.67,76,20,6.17,US,1686371018
20,yellowknife,62.456,-114.3525,292.44,48,75,6.17,CA,1686370741
21,albany,42.6001,-73.9662,283.52,94,73,0.45,US,1686370751
22,nar'yan-mar,67.6713,53.087,276.2,86,100,9.45,RU,1686371018
23,puerto ayora,-0.7393,-90.3518,299.57,93,72,0.45,EC,1686371019
24,pariaman,-0.619,100.12,305.18,66,77,1.12,ID,1686371019
25,todos santos,23.45,-110.2167,294.32,66,3,4.18,MX,1686371019
26,adamstown,-25.066,-130.1015,294.09,58,48,7.24,PN,1686371020
27,longyearbyen,78.2186,15.6401,275.06,87,75,2.57,SJ,1686371020
